Year,Month,Day,SurfacePressure,MaxTemperature,MinTemperature,DewPoint,WetBulbTemp,RelHumidity,WindSpeed10,Precipitation,HEATWAVE
1990,1,1,98.91,22.18,4.4,-2.97,4.54,38.5,3.43,0,0
1990,1,2,98.99,21.76,5.84,-3.17,4.56,36.75,2.73,0,0
1990,1,3,99.12,23,5.98,-5.08,4.33,30,1.64,0,0
1990,1,4,99.24,24.48,8.53,-4.67,4.93,28.06,2.41,0,0
1990,1,5,99.31,24.09,6.8,-0.77,6.74,37.75,3.85,0,0
1990,1,6,99.25,24.01,7.95,1.24,7.85,43.81,3.09,0,0
1990,1,7,99.31,23.94,7.18,3.65,9.04,52.56,3.03,0,0
1990,1,8,99.32,22,6.33,1.3,7.17,48.25,3.9,0,0
1990,1,9,99.17,22.69,5.14,-0.41,6.15,45,4.39,0,0
1990,1,10,98.96,25.23,7.1,0.12,7.44,39.94,5.12,0,0
1990,1,11,98.9,26.42,8.97,2.08,9.25,41.12,5.23,0,0
1990,1,12,98.87,28.08,9.94,3.77,10.82,42.38,3.93,0,0
1990,1,13,98.63,28.22,11.19,3.01,10.73,38.94,2.75,0,0
1990,1,14,98.57,27.34,11.31,1.98,9.65,39.12,3.37,0,0
1990,1,15,98.79,25.65,7.11,-4.41,5.23,30.5,4.04,0,0
1990,1,16,98.88,26.62,7.34,-7.13,4.35,22.06,3.52,0,0
1990,1,17,98.73,28.62,9.72,-2.94,7.48,26.12,3.71,0,0
1990,1,18,98.81,29.55,10.69,2.24,10.46,36.38,3.95,0,0
1990,1,19,98.85,28.21,11.19,5.74,12.33,46.06,6.01,0,0
1990,1,20,98.7,29.32,12.91,3.19,11.55,35.69,6.72,0,0
1990,1,21,98.7,28.3,13.74,5.85,12.97,40.94,3.98,0,0
1990,1,22,98.79,29.2,12.3,4.72,12.26,40.31,3.39,0,0
1990,1,23,98.96,28.04,9.92,1.32,9.65,36.69,3.91,0,0
1990,1,24,98.89,27.67,9.77,0.31,8.84,34.88,4.27,0,0
1990,1,25,98.9,29.84,9.54,-1.99,8.19,28.25,3.84,0,0
1990,1,26,98.75,31.1,12.65,-3.01,8.69,23.31,2.27,0,0
1990,1,27,98.43,31.61,12.48,-3.8,8.68,19.06,4.43,0,0
1990,1,28,98.62,27.62,8.78,-13.85,1.51,11.25,3.23,0,0
1990,1,29,98.9,23.99,8.89,-10.22,2.48,17.69,3.77,0,0
